"","NT_code","species_name","drug","conc","control","AUC","abs_change_AUC","Species","cc_K","AUC_cc_K","concentration","Prop_left_24h_background","effective_concentration"
"1","NT5001","Phocaeicola vulgatus","Acarbose",5,FALSE,0.78363488261837,0.21636511738163,"B._vulgatus",0.0550949872442431,0.043174353862003,5,1,5
"2","NT5001","Phocaeicola vulgatus","Acarbose",20,FALSE,0.614638701336015,0.385361298663985,"B._vulgatus",0.0550949872442431,0.0338635114099259,20,1,20
"3","NT5001","Phocaeicola vulgatus","Acarbose",80,FALSE,0.539545187113491,0.460454812886509,"B._vulgatus",0.0550949872442431,0.0297262352017105,80,1,80
"4","NT5001","Phocaeicola vulgatus","Amlodipine",20,FALSE,0.970107079119572,0.0298929208804284,"B._vulgatus",0.0550949872442431,0.0534480371496427,20,0.917513168253277,18.3502633650655
"5","NT5001","Phocaeicola vulgatus","Amlodipine",80,FALSE,0.0103433414739262,0.989656658526074,"B._vulgatus",0.0550949872442431,0.000569866266568812,80,0.917513168253277,73.4010534602621
"6","NT5001","Phocaeicola vulgatus","Amlodipine",160,FALSE,0.0122108892400517,0.987789110759948,"B._vulgatus",0.0550949872442431,0.000672758786921514,160,0.917513168253277,146.802106920524
"7","NT5001","Phocaeicola vulgatus","Aprepitant",5,FALSE,0.152282651845971,0.84771734815403,"B._vulgatus",0.0550949872442431,0.00839001076097326,5,0.975426632985377,4.87713316492688
"8","NT5001","Phocaeicola vulgatus","Aprepitant",20,FALSE,0.00475907198096368,0.995240928019036,"B._vulgatus",0.0550949872442431,0.000262201010085629,20,0.975426632985377,19.5085326597075
"9","NT5001","Phocaeicola vulgatus","Aprepitant",30,FALSE,0.00383235213995094,0.996167647860049,"B._vulgatus",0.0550949872442431,0.000211143392266045,30,0.975426632985377,29.2627989895613
"10","NT5001","Phocaeicola vulgatus","Aripiprazole",5,FALSE,0.948125200292176,0.0518747997078242,"B._vulgatus",0.0550949872442431,0.0522369458160428,5,0.792637491646872,3.96318745823436
"11","NT5001","Phocaeicola vulgatus","Aripiprazole",20,FALSE,0.87137137882964,0.12862862117036,"B._vulgatus",0.0550949872442431,0.0480081950016175,20,0.792637491646872,15.8527498329374
"12","NT5001","Phocaeicola vulgatus","Aripiprazole",80,FALSE,0.0176588259639925,0.982341174036008,"B._vulgatus",0.0550949872442431,0.000972912791234474,80,0.792637491646872,63.4109993317497
"13","NT5001","Phocaeicola vulgatus","Azithromycin",2.5,FALSE,0.036903279853806,0.963096720146194,"B._vulgatus",0.0550949872442431,0.00203318573281617,2.5,0.997302067944504,2.49325516986126
"14","NT5001","Phocaeicola vulgatus","Azithromycin",20,FALSE,0.00698689956331878,0.993013100436681,"B._vulgatus",0.0550949872442431,0.000384943142317856,20,0.997302067944504,19.9460413588901
"15","NT5001","Phocaeicola vulgatus","Azithromycin",50,FALSE,0.00648410015865352,0.993515899841346,"B._vulgatus",0.0550949872442431,0.00035724141553141,50,0.997302067944504,49.8651033972252
"16","NT5001","Phocaeicola vulgatus","beta-estradiol 17-valerate",5,FALSE,0.862477154588837,0.137522845411163,"B._vulgatus",0.0550949872442431,0.047518167830523,5,1,5
"17","NT5001","Phocaeicola vulgatus","beta-estradiol 17-valerate",20,FALSE,0.00693100515786923,0.993068994842131,"B._vulgatus",0.0550949872442431,0.000381863640762588,20,1,20
"18","NT5001","Phocaeicola vulgatus","beta-estradiol 17-valerate",80,FALSE,0.00876310874874294,0.991236891251257,"B._vulgatus",0.0550949872442431,0.000482803364731907,80,1,80
"19","NT5001","Phocaeicola vulgatus","Chlorpromazine",5,FALSE,0.220866306020703,0.779133693979297,"B._vulgatus",0.0550949872442431,0.0121686263128937,5,0.93808784290751,4.69043921453755
"20","NT5001","Phocaeicola vulgatus","Chlorpromazine",20,FALSE,0.0173102623511639,0.982689737648836,"B._vulgatus",0.0550949872442431,0.000953708683431874,20,0.93808784290751,18.7617568581502
"21","NT5001","Phocaeicola vulgatus","Chlorpromazine",80,FALSE,0.000979774651830057,0.99902022534817,"B._vulgatus",0.0550949872442431,5.39806719448097e-05,80,0.93808784290751,75.0470274326008
"22","NT5001","Phocaeicola vulgatus","Ciprofloxacin",20,FALSE,0.661147902869757,0.338852097130243,"B._vulgatus",0.0550949872442431,0.0364259352751673,20,0.957532271880326,19.1506454376065
"23","NT5001","Phocaeicola vulgatus","Ciprofloxacin",80,FALSE,0.00830140678093441,0.991698593219066,"B._vulgatus",0.0550949872442431,0.000457365900704854,80,0.957532271880326,76.6025817504261
